




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (5242)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of catabolic process (GO:0009896)	519	207	132.10	+	1.57	8.35E-08	4.71E-06
positive regulation of RNA metabolic process (GO:0051254)	1773	579	451.28	+	1.28	8.43E-08	4.73E-06
keratinocyte differentiation (GO:0030216)	270	26	68.72	-	.38	8.40E-08	4.73E-06
RNA export from nucleus (GO:0006405)	124	72	31.56	+	2.28	9.02E-08	5.04E-06
positive regulation of cellular process (GO:0048522)	5741	1658	1461.24	+	1.13	1.02E-07	5.67E-06
process utilizing autophagic mechanism (GO:0061919)	309	138	78.65	+	1.75	1.04E-07	5.76E-06
negative regulation of cellular amide metabolic process (GO:0034249)	206	102	52.43	+	1.95	1.04E-07	5.76E-06
autophagy (GO:0006914)	309	138	78.65	+	1.75	1.04E-07	5.78E-06
protein-containing complex localization (GO:0031503)	259	121	65.92	+	1.84	1.06E-07	5.83E-06
negative regulation of translation (GO:0017148)	184	94	46.83	+	2.01	1.14E-07	6.21E-06
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	26	68.47	-	.38	1.15E-07	6.29E-06
regulation of immune response (GO:0050776)	1183	207	301.11	-	.69	1.22E-07	6.62E-06
mitotic spindle organization (GO:0007052)	163	86	41.49	+	2.07	1.29E-07	6.97E-06
double-strand break repair (GO:0006302)	204	101	51.92	+	1.95	1.29E-07	6.98E-06
cellular protein complex disassembly (GO:0043624)	138	77	35.12	+	2.19	1.32E-07	7.07E-06
opsonization (GO:0008228)	72	0	18.33	-	 < 0.01	1.50E-07	8.02E-06
cellular component disassembly (GO:0022411)	409	170	104.10	+	1.63	1.50E-07	8.05E-06
establishment of localization (GO:0051234)	4631	1360	1178.72	+	1.15	1.57E-07	8.36E-06
organelle fission (GO:0048285)	369	157	93.92	+	1.67	1.65E-07	8.74E-06
establishment of RNA localization (GO:0051236)	191	96	48.61	+	1.97	1.74E-07	9.21E-06
energy derivation by oxidation of organic compounds (GO:0015980)	256	119	65.16	+	1.83	1.80E-07	9.48E-06
protein deubiquitination (GO:0016579)	278	126	70.76	+	1.78	1.87E-07	9.77E-06
positive regulation of protein metabolic process (GO:0051247)	1562	515	397.57	+	1.30	1.87E-07	9.80E-06
cellular respiration (GO:0045333)	187	94	47.60	+	1.97	2.02E-07	1.06E-05
mitochondrial respiratory chain complex assembly (GO:0033108)	101	62	25.71	+	2.41	2.15E-07	1.12E-05
aerobic respiration (GO:0009060)	160	84	40.72	+	2.06	2.24E-07	1.16E-05
protein folding (GO:0006457)	233	110	59.30	+	1.85	2.27E-07	1.17E-05
response to stimulus (GO:0050896)	8540	1968	2173.67	-	.91	2.39E-07	1.23E-05
nuclear division (GO:0000280)	339	146	86.28	+	1.69	2.45E-07	1.26E-05
regulation of protein catabolic process (GO:0042176)	398	165	101.30	+	1.63	2.46E-07	1.26E-05
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	114	62.36	+	1.83	2.86E-07	1.46E-05
RNA phosphodiester bond hydrolysis (GO:0090501)	164	85	41.74	+	2.04	2.97E-07	1.51E-05
regulation of immune effector process (GO:0002697)	435	57	110.72	-	.51	3.07E-07	1.55E-05
regulation of cellular component organization (GO:0051128)	2390	746	608.32	+	1.23	3.07E-07	1.55E-05
nucleic acid transport (GO:0050657)	189	94	48.11	+	1.95	3.26E-07	1.63E-05
RNA transport (GO:0050658)	189	94	48.11	+	1.95	3.26E-07	1.64E-05
B cell mediated immunity (GO:0019724)	205	17	52.18	-	.33	3.42E-07	1.71E-05
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	92	46.83	+	1.96	3.49E-07	1.74E-05
positive regulation of cellular catabolic process (GO:0031331)	450	181	114.54	+	1.58	3.68E-07	1.83E-05
regulation of response to DNA damage stimulus (GO:2001020)	223	106	56.76	+	1.87	3.70E-07	1.83E-05
lymphocyte mediated immunity (GO:0002449)	259	26	65.92	-	.39	3.76E-07	1.86E-05
DNA recombination (GO:0006310)	225	106	57.27	+	1.85	4.17E-07	2.05E-05
response to endoplasmic reticulum stress (GO:0034976)	260	118	66.18	+	1.78	4.21E-07	2.07E-05
cell cycle checkpoint signaling (GO:0000075)	188	93	47.85	+	1.94	4.45E-07	2.18E-05
chromosome segregation (GO:0007059)	286	127	72.79	+	1.74	4.85E-07	2.37E-05
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	105	56.51	+	1.86	4.94E-07	2.40E-05
trans-synaptic signaling (GO:0099537)	432	57	109.96	-	.52	5.03E-07	2.44E-05
snRNA transcription (GO:0009301)	71	48	18.07	+	2.66	5.11E-07	2.47E-05
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	64	28.00	+	2.29	5.53E-07	2.66E-05
mRNA export from nucleus (GO:0006406)	110	64	28.00	+	2.29	5.53E-07	2.67E-05
ATP metabolic process (GO:0046034)	206	99	52.43	+	1.89	6.03E-07	2.89E-05
regulation of proteasomal protein catabolic process (GO:0061136)	187	92	47.60	+	1.93	6.07E-07	2.90E-05
ribosomal small subunit biogenesis (GO:0042274)	73	49	18.58	+	2.64	6.35E-07	3.02E-05
ribosome assembly (GO:0042255)	62	44	15.78	+	2.79	6.34E-07	3.02E-05
microtubule cytoskeleton organization (GO:0000226)	567	216	144.32	+	1.50	6.41E-07	3.03E-05
immunoglobulin mediated immune response (GO:0016064)	201	17	51.16	-	.33	6.61E-07	3.12E-05
DNA-dependent DNA replication (GO:0006261)	195	95	49.63	+	1.91	6.69E-07	3.15E-05
mRNA transport (GO:0051028)	160	82	40.72	+	2.01	7.21E-07	3.38E-05
snRNA transcription by RNA polymerase II (GO:0042795)	70	47	17.82	+	2.64	7.69E-07	3.60E-05
regulation of immune system process (GO:0002682)	1717	331	437.02	-	.76	8.19E-07	3.82E-05
localization (GO:0051179)	5831	1666	1484.15	+	1.12	9.12E-07	4.24E-05
mitochondrial transport (GO:0006839)	235	108	59.81	+	1.81	9.29E-07	4.31E-05
protein alkylation (GO:0008213)	131	71	33.34	+	2.13	9.53E-07	4.39E-05
protein methylation (GO:0006479)	131	71	33.34	+	2.13	9.53E-07	4.41E-05
anterograde trans-synaptic signaling (GO:0098916)	414	55	105.37	-	.52	9.94E-07	4.56E-05
chemical synaptic transmission (GO:0007268)	414	55	105.37	-	.52	9.94E-07	4.57E-05
nucleobase-containing compound transport (GO:0015931)	245	111	62.36	+	1.78	1.06E-06	4.85E-05
regulation of humoral immune response (GO:0002920)	142	9	36.14	-	.25	1.21E-06	5.49E-05
positive regulation of cellular amide metabolic process (GO:0034250)	168	84	42.76	+	1.96	1.21E-06	5.50E-05
positive regulation of organelle organization (GO:0010638)	605	226	153.99	+	1.47	1.31E-06	5.93E-05
positive regulation of chromosome organization (GO:2001252)	182	89	46.32	+	1.92	1.34E-06	6.06E-05
synaptic signaling (GO:0099536)	464	65	118.10	-	.55	1.36E-06	6.15E-05
oxidative phosphorylation (GO:0006119)	120	66	30.54	+	2.16	1.39E-06	6.26E-05
organelle localization (GO:0051640)	609	227	155.01	+	1.46	1.41E-06	6.30E-05
immune system process (GO:0002376)	2903	607	738.89	-	.82	1.50E-06	6.70E-05
positive regulation of translation (GO:0045727)	137	72	34.87	+	2.06	1.57E-06	7.00E-05
transport (GO:0006810)	4476	1303	1139.27	+	1.14	1.66E-06	7.37E-05
positive regulation of cellular protein metabolic process (GO:0032270)	1474	480	375.17	+	1.28	1.80E-06	7.97E-05
neuropeptide signaling pathway (GO:0007218)	109	5	27.74	-	.18	1.83E-06	8.08E-05
positive regulation of immune system process (GO:0002684)	1069	191	272.09	-	.70	2.03E-06	8.93E-05
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	4	25.45	-	.16	2.03E-06	8.95E-05
phagocytosis, engulfment (GO:0006911)	132	8	33.60	-	.24	2.27E-06	9.90E-05
locomotion (GO:0040011)	1345	252	342.34	-	.74	2.26E-06	9.91E-05
negative regulation of defense response (GO:0031348)	402	54	102.32	-	.53	2.28E-06	9.95E-05
regulation of cellular protein catabolic process (GO:1903362)	256	113	65.16	+	1.73	2.30E-06	9.97E-05
cell-cell signaling (GO:0007267)	1131	205	287.87	-	.71	2.31E-06	1.00E-04
response to biotic stimulus (GO:0009607)	1547	297	393.75	-	.75	2.32E-06	1.00E-04
sister chromatid segregation (GO:0000819)	149	76	37.92	+	2.00	2.37E-06	1.02E-04
endosomal transport (GO:0016197)	235	106	59.81	+	1.77	2.44E-06	1.05E-04
nucleosome organization (GO:0034728)	156	78	39.71	+	1.96	2.61E-06	1.12E-04
tRNA modification (GO:0006400)	93	55	23.67	+	2.32	2.61E-06	1.12E-04
leukocyte migration (GO:0050900)	379	50	96.47	-	.52	2.75E-06	1.17E-04
negative regulation of immune response (GO:0050777)	373	49	94.94	-	.52	3.07E-06	1.30E-04
regulation of protein stability (GO:0031647)	306	129	77.89	+	1.66	3.21E-06	1.36E-04
mRNA 3'-end processing (GO:0031124)	88	52	22.40	+	2.32	4.00E-06	1.69E-04
RNA methylation (GO:0001510)	88	52	22.40	+	2.32	4.00E-06	1.69E-04
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	61	28.51	+	2.14	4.09E-06	1.72E-04
chromatin assembly or disassembly (GO:0006333)	170	82	43.27	+	1.90	4.20E-06	1.76E-04
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	97	53.96	+	1.80	4.40E-06	1.84E-04
mitotic cell cycle checkpoint signaling (GO:0007093)	159	78	40.47	+	1.93	4.55E-06	1.90E-04
regulation of protein ubiquitination (GO:0031396)	213	97	54.21	+	1.79	4.59E-06	1.91E-04
generation of precursor metabolites and energy (GO:0006091)	403	159	102.57	+	1.55	4.67E-06	1.93E-04
positive regulation of mRNA metabolic process (GO:1903313)	136	70	34.62	+	2.02	4.67E-06	1.93E-04
macroautophagy (GO:0016236)	199	92	50.65	+	1.82	4.66E-06	1.93E-04
chromatin remodeling (GO:0006338)	173	83	44.03	+	1.88	4.82E-06	1.99E-04
regulation of cell cycle G2/M phase transition (GO:1902749)	222	100	56.51	+	1.77	4.94E-06	2.03E-04
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	9	34.11	-	.26	5.07E-06	2.08E-04
cell cycle phase transition (GO:0044770)	270	116	68.72	+	1.69	5.21E-06	2.13E-04
negative regulation of RNA metabolic process (GO:0051253)	1408	456	358.38	+	1.27	5.37E-06	2.19E-04
protein acetylation (GO:0006473)	138	70	35.12	+	1.99	5.59E-06	2.27E-04
negative regulation of cellular process (GO:0048523)	4902	1407	1247.70	+	1.13	5.67E-06	2.30E-04
regulation of complement activation (GO:0030449)	118	7	30.03	-	.23	5.70E-06	2.30E-04
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	63	30.03	+	2.10	6.37E-06	2.57E-04
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	69	34.36	+	2.01	6.44E-06	2.59E-04
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	80	42.25	+	1.89	6.65E-06	2.67E-04
peptidyl-lysine acetylation (GO:0018394)	119	63	30.29	+	2.08	6.82E-06	2.73E-04
positive regulation of biological process (GO:0048518)	6331	1781	1611.42	+	1.11	7.33E-06	2.92E-04
chemotaxis (GO:0006935)	547	85	139.23	-	.61	7.73E-06	3.07E-04
mRNA destabilization (GO:0061157)	90	52	22.91	+	2.27	7.72E-06	3.08E-04
taxis (GO:0042330)	550	86	139.99	-	.61	8.35E-06	3.31E-04
potassium ion transmembrane transport (GO:0071805)	158	13	40.22	-	.32	8.58E-06	3.39E-04
regulation of mRNA processing (GO:0050684)	140	70	35.63	+	1.96	9.01E-06	3.55E-04
respiratory electron transport chain (GO:0022904)	112	60	28.51	+	2.10	9.09E-06	3.57E-04
mitotic cell cycle phase transition (GO:0044772)	262	112	66.69	+	1.68	9.36E-06	3.67E-04
DNA-templated transcription, termination (GO:0006353)	79	47	20.11	+	2.34	1.03E-05	4.03E-04
positive regulation of cellular component organization (GO:0051130)	1161	382	295.51	+	1.29	1.03E-05	4.03E-04
regulation of DNA repair (GO:0006282)	130	66	33.09	+	1.99	1.03E-05	4.03E-04
signal transduction by p53 class mediator (GO:0072331)	119	62	30.29	+	2.05	1.05E-05	4.08E-04
RNA destabilization (GO:0050779)	94	53	23.93	+	2.22	1.13E-05	4.38E-04
potassium ion transport (GO:0006813)	167	15	42.51	-	.35	1.14E-05	4.43E-04
mitotic sister chromatid segregation (GO:0000070)	121	63	30.80	+	2.05	1.19E-05	4.59E-04
ion transport (GO:0006811)	1200	226	305.43	-	.74	1.21E-05	4.66E-04
positive regulation of cell activation (GO:0050867)	440	65	111.99	-	.58	1.24E-05	4.74E-04
protein acylation (GO:0043543)	178	83	45.31	+	1.83	1.24E-05	4.75E-04
phosphorus metabolic process (GO:0006793)	1835	572	467.06	+	1.22	1.25E-05	4.79E-04
ATP-dependent chromatin remodeling (GO:0043044)	77	46	19.60	+	2.35	1.34E-05	5.09E-04
signal transduction in response to DNA damage (GO:0042770)	167	79	42.51	+	1.86	1.42E-05	5.38E-04
regulation of autophagy (GO:0010506)	331	133	84.25	+	1.58	1.49E-05	5.65E-04
nuclear chromosome segregation (GO:0098813)	227	99	57.78	+	1.71	1.52E-05	5.77E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	315	405.46	-	.78	1.54E-05	5.81E-04
positive regulation of leukocyte activation (GO:0002696)	429	63	109.19	-	.58	1.56E-05	5.88E-04
regulation of cell activation (GO:0050865)	664	111	169.01	-	.66	1.57E-05	5.90E-04
viral life cycle (GO:0019058)	230	100	58.54	+	1.71	1.71E-05	6.41E-04
cornification (GO:0070268)	113	7	28.76	-	.24	1.78E-05	6.62E-04
epithelial cell differentiation (GO:0030855)	686	116	174.61	-	.66	1.78E-05	6.63E-04
histone acetylation (GO:0016573)	110	58	28.00	+	2.07	1.78E-05	6.64E-04
regulation of gene silencing (GO:0060968)	116	60	29.53	+	2.03	1.85E-05	6.83E-04
internal peptidyl-lysine acetylation (GO:0018393)	116	60	29.53	+	2.03	1.85E-05	6.85E-04
regulation of stem cell differentiation (GO:2000736)	116	60	29.53	+	2.03	1.85E-05	6.86E-04
epidermal cell differentiation (GO:0009913)	322	43	81.96	-	.52	1.88E-05	6.95E-04
regulation of gene expression, epigenetic (GO:0040029)	173	80	44.03	+	1.82	1.93E-05	7.07E-04
DNA packaging (GO:0006323)	202	90	51.41	+	1.75	1.92E-05	7.07E-04
negative regulation of biological process (GO:0048519)	5501	1555	1400.16	+	1.11	2.10E-05	7.67E-04
response to ionizing radiation (GO:0010212)	148	71	37.67	+	1.88	2.14E-05	7.80E-04
lymphocyte chemotaxis (GO:0048247)	49	0	12.47	-	 < 0.01	2.15E-05	7.83E-04
organophosphate biosynthetic process (GO:0090407)	552	200	140.50	+	1.42	2.22E-05	8.08E-04
mitochondrial RNA metabolic process (GO:0000959)	41	30	10.44	+	2.87	2.29E-05	8.30E-04
regulation of RNA splicing (GO:0043484)	150	72	38.18	+	1.89	2.32E-05	8.36E-04
DNA integrity checkpoint signaling (GO:0031570)	150	72	38.18	+	1.89	2.32E-05	8.38E-04
regulation of cytosolic calcium ion concentration (GO:0051480)	321	43	81.70	-	.53	2.40E-05	8.66E-04
post-translational protein modification (GO:0043687)	361	141	91.88	+	1.53	2.46E-05	8.82E-04
ATP synthesis coupled electron transport (GO:0042773)	93	51	23.67	+	2.15	2.48E-05	8.85E-04
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	51	23.67	+	2.15	2.48E-05	8.87E-04
aerobic electron transport chain (GO:0019646)	88	49	22.40	+	2.19	2.51E-05	8.95E-04
positive regulation of immune response (GO:0050778)	747	130	190.13	-	.68	2.73E-05	9.71E-04
positive regulation of mRNA catabolic process (GO:0061014)	105	55	26.73	+	2.06	2.87E-05	1.02E-03
regulation of leukocyte activation (GO:0002694)	622	104	158.32	-	.66	2.98E-05	1.05E-03
antimicrobial humoral response (GO:0019730)	154	14	39.20	-	.36	3.00E-05	1.06E-03
apoptotic process (GO:0006915)	913	306	232.38	+	1.32	3.11E-05	1.10E-03
internal protein amino acid acetylation (GO:0006475)	118	60	30.03	+	2.00	3.12E-05	1.10E-03
leukocyte chemotaxis (GO:0030595)	143	12	36.40	-	.33	3.14E-05	1.10E-03
peptide cross-linking (GO:0018149)	102	6	25.96	-	.23	3.21E-05	1.12E-03
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	91	50	23.16	+	2.16	3.21E-05	1.12E-03
phosphate-containing compound metabolic process (GO:0006796)	1808	559	460.19	+	1.21	3.20E-05	1.12E-03
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	73	39.71	+	1.84	3.23E-05	1.12E-03
positive regulation of lymphocyte activation (GO:0051251)	384	56	97.74	-	.57	3.47E-05	1.20E-03
anaphase-promoting complex-dependent catabolic process (GO:0031145)	87	48	22.14	+	2.17	3.58E-05	1.24E-03
positive regulation of B cell activation (GO:0050871)	171	17	43.52	-	.39	3.69E-05	1.28E-03
response to chemical (GO:0042221)	4381	980	1115.09	-	.88	3.76E-05	1.30E-03
sensory perception of taste (GO:0050909)	69	2	17.56	-	.11	3.90E-05	1.34E-03
maturation of 5.8S rRNA (GO:0000460)	35	27	8.91	+	3.03	4.09E-05	1.41E-03
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	30	10.69	+	2.81	4.38E-05	1.50E-03
regulation of postsynaptic membrane potential (GO:0060078)	99	6	25.20	-	.24	4.47E-05	1.53E-03
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	37	72.03	-	.51	4.51E-05	1.54E-03
external encapsulating structure organization (GO:0045229)	386	57	98.25	-	.58	4.76E-05	1.62E-03
endomembrane system organization (GO:0010256)	530	191	134.90	+	1.42	5.13E-05	1.74E-03
positive regulation of protein catabolic process (GO:0045732)	237	99	60.32	+	1.64	5.27E-05	1.79E-03
regulation of gene silencing by RNA (GO:0060966)	97	51	24.69	+	2.07	5.32E-05	1.80E-03
extracellular matrix organization (GO:0030198)	383	57	97.48	-	.58	5.90E-05	1.99E-03
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	2	17.05	-	.12	5.92E-05	1.99E-03
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	44	19.85	+	2.22	5.94E-05	2.00E-03
skin development (GO:0043588)	385	57	97.99	-	.58	5.97E-05	2.00E-03
sensory perception of light stimulus (GO:0050953)	220	26	56.00	-	.46	6.08E-05	2.04E-03
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	60	37	15.27	+	2.42	6.19E-05	2.06E-03
protein K48-linked ubiquitination (GO:0070936)	60	37	15.27	+	2.42	6.19E-05	2.07E-03
post-Golgi vesicle-mediated transport (GO:0006892)	136	65	34.62	+	1.88	6.32E-05	2.10E-03
positive regulation of DNA metabolic process (GO:0051054)	202	87	51.41	+	1.69	6.57E-05	2.18E-03
regulation of hematopoietic stem cell differentiation (GO:1902036)	74	42	18.84	+	2.23	6.61E-05	2.19E-03
regulation of chromatin organization (GO:1902275)	211	90	53.71	+	1.68	6.73E-05	2.23E-03
response to UV (GO:0009411)	151	70	38.43	+	1.82	6.83E-05	2.25E-03
protein localization to mitochondrion (GO:0070585)	85	46	21.63	+	2.13	7.26E-05	2.39E-03
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	32	12.47	+	2.57	7.34E-05	2.41E-03
regulation of posttranscriptional gene silencing (GO:0060147)	96	50	24.43	+	2.05	7.47E-05	2.45E-03
ion transmembrane transport (GO:0034220)	870	160	221.44	-	.72	7.53E-05	2.45E-03
mitochondrial membrane organization (GO:0007006)	146	68	37.16	+	1.83	7.50E-05	2.46E-03
regulation of response to external stimulus (GO:0032101)	1199	233	305.18	-	.76	7.52E-05	2.46E-03
divalent inorganic cation homeostasis (GO:0072507)	481	77	122.43	-	.63	7.80E-05	2.54E-03
regulation of macroautophagy (GO:0016241)	161	73	40.98	+	1.78	7.86E-05	2.54E-03
response to topologically incorrect protein (GO:0035966)	191	83	48.61	+	1.71	7.85E-05	2.55E-03
visual perception (GO:0007601)	217	26	55.23	-	.47	7.93E-05	2.56E-03
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	57	29.27	+	1.95	8.07E-05	2.60E-03
positive regulation of transcription, DNA-templated (GO:0045893)	1628	504	414.37	+	1.22	8.19E-05	2.63E-03
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	504	414.37	+	1.22	8.19E-05	2.64E-03
positive regulation of RNA biosynthetic process (GO:1902680)	1629	504	414.63	+	1.22	8.23E-05	2.64E-03
regulation of catecholamine secretion (GO:0050433)	56	1	14.25	-	.07	8.47E-05	2.70E-03
cellular divalent inorganic cation homeostasis (GO:0072503)	460	73	117.08	-	.62	8.46E-05	2.71E-03
nucleotide-excision repair (GO:0006289)	104	53	26.47	+	2.00	8.53E-05	2.72E-03
DNA geometric change (GO:0032392)	110	55	28.00	+	1.96	8.64E-05	2.75E-03
DNA damage checkpoint signaling (GO:0000077)	142	66	36.14	+	1.83	8.86E-05	2.81E-03
cytochrome complex assembly (GO:0017004)	36	26	9.16	+	2.84	9.80E-05	3.10E-03
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	411	330.63	+	1.24	9.89E-05	3.13E-03
extracellular structure organization (GO:0043062)	384	58	97.74	-	.59	9.92E-05	3.13E-03
negative regulation of RNA biosynthetic process (GO:1902679)	1301	411	331.14	+	1.24	1.00E-04	3.16E-03
establishment of organelle localization (GO:0051656)	398	148	101.30	+	1.46	1.04E-04	3.27E-03
epidermis development (GO:0008544)	422	66	107.41	-	.61	1.07E-04	3.34E-03
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	43	20.11	+	2.14	1.07E-04	3.35E-03
regulation of system process (GO:0044057)	585	100	148.90	-	.67	1.14E-04	3.56E-03
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	63	34.11	+	1.85	1.14E-04	3.56E-03
peptidyl-lysine methylation (GO:0018022)	86	46	21.89	+	2.10	1.17E-04	3.66E-03
cell aging (GO:0007569)	76	42	19.34	+	2.17	1.21E-04	3.74E-03
ubiquitin-dependent ERAD pathway (GO:0030433)	76	42	19.34	+	2.17	1.21E-04	3.75E-03
inorganic ion transmembrane transport (GO:0098660)	637	111	162.13	-	.68	1.24E-04	3.84E-03
negative regulation of transcription, DNA-templated (GO:0045892)	1297	409	330.12	+	1.24	1.26E-04	3.88E-03
regulation of lymphocyte activation (GO:0051249)	536	90	136.43	-	.66	1.28E-04	3.93E-03
chromatin assembly (GO:0031497)	150	68	38.18	+	1.78	1.29E-04	3.96E-03
regulation of amine transport (GO:0051952)	92	6	23.42	-	.26	1.32E-04	4.05E-03
sensory perception of bitter taste (GO:0050913)	41	0	10.44	-	 < 0.01	1.33E-04	4.07E-03
establishment of protein localization to mitochondrion (GO:0072655)	77	42	19.60	+	2.14	1.34E-04	4.10E-03
response to starvation (GO:0042594)	232	95	59.05	+	1.61	1.35E-04	4.10E-03
protein insertion into membrane (GO:0051205)	72	40	18.33	+	2.18	1.37E-04	4.17E-03
monocyte chemotaxis (GO:0002548)	42	0	10.69	-	 < 0.01	1.37E-04	4.18E-03
centrosome cycle (GO:0007098)	88	46	22.40	+	2.05	1.39E-04	4.22E-03
cellular calcium ion homeostasis (GO:0006874)	425	67	108.17	-	.62	1.42E-04	4.29E-03
vacuole organization (GO:0007033)	145	66	36.91	+	1.79	1.43E-04	4.33E-03
microtubule-based transport (GO:0099111)	192	82	48.87	+	1.68	1.46E-04	4.37E-03
blood circulation (GO:0008015)	390	60	99.27	-	.60	1.46E-04	4.37E-03
response to unfolded protein (GO:0006986)	168	74	42.76	+	1.73	1.45E-04	4.38E-03
calcium ion homeostasis (GO:0055074)	438	70	111.48	-	.63	1.45E-04	4.38E-03
regulation of gene silencing by miRNA (GO:0060964)	94	48	23.93	+	2.01	1.47E-04	4.39E-03
cell migration (GO:0016477)	968	184	246.38	-	.75	1.51E-04	4.49E-03
transcription by RNA polymerase III (GO:0006383)	32	24	8.14	+	2.95	1.50E-04	4.49E-03
double-strand break repair via homologous recombination (GO:0000724)	101	51	25.71	+	1.98	1.53E-04	4.55E-03
myeloid leukocyte migration (GO:0097529)	124	11	31.56	-	.35	1.54E-04	4.57E-03
respiratory chain complex IV assembly (GO:0008535)	26	21	6.62	+	3.17	1.59E-04	4.72E-03
regulation of cell cycle G1/S phase transition (GO:1902806)	178	77	45.31	+	1.70	1.59E-04	4.72E-03
regulation of programmed cell death (GO:0043067)	1532	473	389.94	+	1.21	1.69E-04	4.99E-03
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	47	23.16	+	2.03	1.69E-04	4.99E-03
transport along microtubule (GO:0010970)	157	70	39.96	+	1.75	1.72E-04	5.05E-03
telomere organization (GO:0032200)	103	51	26.22	+	1.95	1.76E-04	5.16E-03
recombinational repair (GO:0000725)	103	51	26.22	+	1.95	1.76E-04	5.17E-03
positive regulation of response to DNA damage stimulus (GO:2001022)	109	53	27.74	+	1.91	1.78E-04	5.22E-03
termination of RNA polymerase II transcription (GO:0006369)	40	27	10.18	+	2.65	1.81E-04	5.30E-03
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	58	31.31	+	1.85	1.85E-04	5.39E-03
DNA biosynthetic process (GO:0071897)	117	56	29.78	+	1.88	1.89E-04	5.49E-03
plasma membrane invagination (GO:0099024)	141	14	35.89	-	.39	1.91E-04	5.54E-03
cellular response to topologically incorrect protein (GO:0035967)	152	68	38.69	+	1.76	1.91E-04	5.54E-03
defense response to Gram-negative bacterium (GO:0050829)	91	6	23.16	-	.26	1.92E-04	5.55E-03
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	54	28.25	+	1.91	1.93E-04	5.56E-03
negative regulation of catabolic process (GO:0009895)	317	121	80.69	+	1.50	1.96E-04	5.64E-03
regulation of cellular protein localization (GO:1903827)	561	195	142.79	+	1.37	1.97E-04	5.67E-03
regulation of B cell activation (GO:0050864)	216	27	54.98	-	.49	2.06E-04	5.93E-03
cytoskeleton-dependent intracellular transport (GO:0030705)	194	82	49.38	+	1.66	2.08E-04	5.96E-03
microtubule organizing center organization (GO:0031023)	100	50	25.45	+	1.96	2.09E-04	5.99E-03
positive regulation of cell cycle (GO:0045787)	310	119	78.90	+	1.51	2.10E-04	6.00E-03
cytoskeleton organization (GO:0007010)	1212	382	308.49	+	1.24	2.16E-04	6.15E-03
regulation of ion transmembrane transport (GO:0034765)	502	84	127.77	-	.66	2.17E-04	6.17E-03
positive regulation of viral process (GO:0048524)	89	46	22.65	+	2.03	2.20E-04	6.27E-03
phagocytosis (GO:0006909)	329	49	83.74	-	.59	2.28E-04	6.48E-03
regulation of cell death (GO:0010941)	1668	509	424.55	+	1.20	2.35E-04	6.65E-03
amino acid activation (GO:0043038)	50	31	12.73	+	2.44	2.36E-04	6.68E-03
regulation of cellular response to heat (GO:1900034)	79	42	20.11	+	2.09	2.37E-04	6.68E-03
endoplasmic reticulum organization (GO:0007029)	102	50	25.96	+	1.93	2.42E-04	6.83E-03
endocytosis (GO:0006897)	569	99	144.83	-	.68	2.52E-04	7.09E-03
